avg_consumption,peak_consumption,previous_month_consumption,sudden_drop,night_day_ratio,voltage,current,billing_amount,payment_delay_days,meter_variance,load_factor,phase_imbalance,transformer_load,line_loss,temperature,humidity,area_type,connection_type,tamper_flag,theft
349.67141530112326,389.4160670518918,306.49673505287655,0.33645035181751015,0.9107363693799706,219.0485187692268,-0.12673730053280075,94.51975839009326,0,0.29158537351219527,0.8979378225154938,0.3552428610103552,0.7355466737636644,0.13315074744075486,25.55501032690212,64.37203637314204,1,0,1,0
286.1735698828815,341.83800976141595,284.6133954359273,0.21120825858795167,1.9744553544996535,216.11520093228518,8.651049418471558,31.79658700914367,25,0.3267236831445983,0.8371613504379307,0.5961313881282618,0.7391864489385803,0.24796279682171296,39.26331367595364,73.72510461413388,0,0,0,0
364.76885381006923,400.9962561800704,365.66969741229155,0.31318205070363514,1.8994261543086743,217.83998578426886,12.291708725726933,47.32813939496796,13,0.3715412244495886,0.9096565072324939,0.9781568756368222,1.186788968358385,0.10167815800706032,37.388689610388234,63.246262532320465,0,0,0,0
452.30298564080255,503.06413975163133,475.9345029329728,0.17884106850779935,0.9925414682063465,223.33965149676192,8.828816598648572,97.40704001211789,29,0.39455277839364533,0.8990960593297503,0.9975025034811971,1.359357478516452,0.026889803432978608,29.018224612402154,58.10105911520936,1,0,0,0
276.5846625276664,279.77622251905285,208.2417443636251,0.9019161078378828,2.3068155117255857,218.288206302036,8.601317824848664,68.56043982808258,21,0.10031949919327943,0.9885924544886259,0.7747149780111912,0.8870554126020865,0.2733846516610418,28.027903357479573,65.51592620955218,0,0,0,0
276.58630430508197,342.98511552627014,306.2146679974485,0.39718688631712884,0.708742916165658,219.33887606047992,6.875641144675544,31.876658106510476,27,0.7619628388892893,0.8064090591240176,0.4043110980204393,1.3756180199406924,0.11620312189741037,20.031071966216974,67.54853995015633,1,0,0,0
457.92128155073914,517.9574458116059,322.7016999706004,0.24527930497436734,2.4653764791826513,202.90773600797405,13.010097678187437,130.11968889301806,20,0.36533926361070046,0.8840905469236108,0.4944322008289883,0.8401420207477571,0.10451625333456405,21.58880325113681,39.2963973124241,1,0,0,0
376.7434729152909,412.2308139832452,345.2492452971004,0.4484078410159329,2.220495621954929,223.9169801601047,11.645389820621713,111.0344126647423,0,0.8798199767054522,0.9139139048703026,0.35673132811230546,0.6970158796150193,0.06131988566278181,35.58138812231587,35.48335194883765,0,0,0,0
253.0525614065048,332.82993145947694,228.63886928392756,0.32053616680649555,1.8757972909581504,219.10796702308332,12.476243793469255,55.97270481351367,25,0.9269406231201087,0.760305902467533,0.9855746299043462,0.8296388243277235,0.26922677136850365,32.86518275588654,33.742442524278154,0,0,0,0
354.25600435859644,442.3831084873932,385.92234566215836,0.744419253813326,2.3774997765596657,236.1029298048287,4.8213581141263315,69.52227716096417,2,0.02443130930768811,0.8007900789202304,0.7077603058254037,1.1093563739279924,0.06525160010635016,30.870080112125564,48.70267472612683,1,0,0,0
253.65823071875377,265.43143478768457,254.78977335259722,0.9712199118854944,1.9446223366474156,210.60434832746043,9.518649870203099,62.97801045832754,10,0.9885030699282062,0.9556450272050556,0.44893144543351127,0.8671431593120738,0.19100186040041509,40.68755602004146,54.90001199188726,0,1,0,0
253.42702464297432,290.54528128598787,183.14887195016,0.4380336566976468,0.8809139940600919,201.91704671500486,9.159666976749982,41.98562782828313,6,0.7100227315001846,0.8722462244827253,0.012115270109602339,1.1728938039892887,0.26422950348243085,32.59745511007117,60.78249491449304,1,0,0,0
